t(s)	theta(rad)	dt	dtheta
0	0.523598776	0.0166	0.174533
5.22	0.459426	0.18	0.0174533
11.12	0.40706585	0.016666667	0.0174533
15.14	0.379613	0.016666667	0.0174533
21.06	0.349799388	0.016666667	0.0174533
26.02	0.2956194	0.016666667	0.0174533
30.27	0.23743951	0.016666667	0.0174533
36.18	0.193806	0.016666667	0.0174533
42.07	0.185079633	0.016666667	0.0174533
46.09	0.164136	0.016666667	0.0174533
50.09	0.132719755	0.016666667	0.0174533
56	0.146682	0.016666667	0.0174533
62.12	0.117011792	0.016666667	0.0174533
70.15	0.1152665	0.016666667	0.0174533
75.1	0.0978132	0.016666667	0.0174533
81.24	0.0943225	0.016666667	0.0174533
85.1	0.0803599	0.016666667	0.0174533
91.13	0.0716332	0.016666667	0.0174533
96.05	0.0629066	0.016666667	0.0174533
101	0.0541799	0.016666667	0.0174533


