t(s) theta(rad) dt dtheta

0  	0.5235987756      0.01666666666  0.0174533
5.22  0.401426		0.01666666666  0.0174533
11.12	0.3490658504	0.01666666666  0.0174533
15.14	0.331613		0.01666666666  0.0174533
21.06	0.2617993878    	0.01666666666  0.0174533
26.02	0.2356194		0.01666666666  0.0174533
30.27	0.20943951024   	0.01666666666  0.0174533
36.18	0.165806		0.01666666666  0.0174533
42.07	0.15707963268    	0.01666666666  0.0174533
46.09	0.136136		0.01666666666  0.0174533
50.09	0.10471975512     0.01666666666  0.0174533
56	0.118682		0.01666666666  0.0174533
62.12	0.089011791852    0.01666666666  0.0174533
70.15	0.0872665		0.01666666666  0.0174533
75.1	0.0698132		0.01666666666  0.0174533
81.24 0.0663225		0.01666666666  0.0174533
85.1	0.0523599    	0.01666666666  0.0174533
91.13 0.0436332		0.01666666666  0.0174533
96.05	0.0349066    	0.01666666666 0.0174533
101	0.0261799		0.01666666666  0.0174533
0  	-0.535987756      0.01666666666  0.0174533
5.22  -0.41426		0.01666666666  0.0174533
11.12	-0.390658504	0.01666666666  0.0174533
15.14	-0.31613		0.01666666666  0.0174533
21.06	-0.217993878    	0.01666666666  0.0174533
26.02	-0.25194		0.01666666666  0.0174533
30.27	-0.21943951024   	0.01666666666  0.0174533
36.18	-0.175806		0.01666666666  0.0174533
42.07	-0.16707963268    	0.01666666666  0.0174533
46.09	-0.126136		0.01666666666  0.0174533
50.09	-0.11471975512     0.01666666666  0.0174533
56	-0.108682		0.01666666666  0.0174533
62.12	-0.079011791852    0.01666666666  0.0174533
70.15	-0.0772665		0.01666666666  0.0174533
75.1	-0.0698132		0.01666666666  0.0174533
81.24 -0.063225		0.01666666666  0.0174533
85.1	-0.053599    	0.01666666666  0.0174533
91.13 -0.046332		0.01666666666  0.0174533
96.05	-0.039066    	0.01666666666 0.0174533
101	-0.021799		0.01666666666  0.0174533

